position,team,played,won,draw,lost,gf,ga,gd,pts,league
1,Chelsea,37,29,3,5,80,32,48,90,ENG
2,Tottenham,37,25,8,4,79,25,54,83,ENG
3,Manchester City,37,22,9,6,75,39,36,75,ENG
4,Liverpool,37,21,10,6,75,42,33,73,ENG
5,Arsenal,37,22,6,9,74,43,31,72,ENG
6,Manchester Utd,37,17,15,5,52,29,23,66,ENG
7,Everton,37,17,10,10,61,41,20,61,ENG
8,Southampton,37,12,10,15,41,47,-6,46,ENG
9,West Bromwich,37,12,9,16,42,49,-7,45,ENG
10,Bournemouth,37,12,9,16,54,66,-12,45,ENG
11,Leicester City,37,12,7,18,47,62,-15,43,ENG
12,West Ham Utd,37,11,9,17,45,63,-18,42,ENG
13,Crystal Palace,37,12,5,20,50,61,-11,41,ENG
14,Stoke City,37,10,11,16,40,56,-16,41,ENG
15,Burnley,37,11,7,19,38,53,-15,40,ENG
16,Watford,37,11,7,19,40,63,-23,40,ENG
17,Swansea City,37,11,5,21,43,69,-26,38,ENG
18,Hull City,37,9,7,21,36,73,-37,34,ENG
19,Middlesbrough,37,5,13,19,27,50,-23,28,ENG
20,Sunderland,37,6,6,25,28,64,-36,24,ENG
1,Real Madrid,37,28,6,3,104,41,63,90,ESP
2,FC Barcelona,37,27,6,4,112,35,77,87,ESP
3,Atletico Madrid,37,22,9,6,67,26,41,75,ESP
4,Sevilla FC,38,21,9,8,69,49,20,72,ESP
5,Villarreal CF,37,18,10,9,53,32,21,64,ESP
6,Athletic Club,37,19,6,12,52,40,12,63,ESP
7,Real Sociedad,37,19,6,12,57,51,6,63,ESP
8,RCD Espanyol,38,15,11,12,49,50,-1,56,ESP
9,CD Alaves,38,14,13,11,41,43,-2,55,ESP
10,SD Eibar,37,15,9,13,54,47,7,54,ESP
11,Malaga CF,37,12,10,15,49,53,-4,46,ESP
12,Valencia CF,37,13,7,17,55,62,-7,46,ESP
13,Celta Vigo,37,13,5,19,51,67,-16,44,ESP
14,UD Las Palmas,38,10,9,19,53,74,-21,39,ESP
15,Real Betis,38,10,9,19,41,64,-23,39,ESP
16,RC Deportivo,38,8,12,18,43,61,-18,36,ESP
17,CD Leganes,38,8,11,19,36,55,-19,35,ESP
18,Sporting Gijon,38,7,10,21,42,72,-30,31,ESP
19,CA Osasuna,38,4,10,24,40,94,-54,22,ESP
20,Granada CF,38,4,8,26,30,82,-52,20,ESP
1,Juventus,36,27,4,5,72,26,46,85,ITA
2,Roma,37,27,3,7,87,36,51,84,ITA
3,Napoli,37,25,8,4,90,37,53,83,ITA
4,Lazio,36,21,7,8,72,45,27,70,ITA
5,Atalanta,36,19,9,8,60,41,19,66,ITA
6,Milan,36,17,9,10,53,43,10,60,ITA
7,Fiorentina,37,16,11,10,61,55,6,59,ITA
8,Internazionale,36,17,5,14,64,46,18,56,ITA
9,Torino,36,12,14,10,65,61,4,50,ITA
10,Sampdoria,36,12,11,13,46,50,-4,47,ITA
11,Udinese,36,12,8,16,44,50,-6,44,ITA
12,Cagliari,36,13,5,18,51,69,-18,44,ITA
13,Chievo Verona,37,12,7,18,43,60,-17,43,ITA
14,Sassuolo,36,12,7,17,49,56,-7,43,ITA
15,Bologna,36,11,8,17,39,53,-14,41,ITA
16,Genoa,36,8,9,19,34,60,-26,33,ITA
17,Empoli,36,8,8,20,28,58,-30,32,ITA
18,Crotone,36,8,7,21,31,54,-23,31,ITA
19,Palermo,36,5,8,23,31,74,-43,23,ITA
20,Pescara,36,2,8,26,33,79,-46,14,ITA
1,Bayern Munchen,34,25,7,2,89,22,67,82,GER
2,RB Leipzig,34,20,7,7,66,39,27,67,GER
3,Dortmund,34,18,10,6,72,40,32,64,GER
4,Hoffenheim,34,16,14,4,64,37,27,62,GER
5,Cologne,34,12,13,9,51,42,9,49,GER
6,Hertha Berlin,34,15,4,15,43,47,-4,49,GER
7,Freiburg,34,14,6,14,42,60,-18,48,GER
8,Werder Bremen,34,13,6,15,61,64,-3,45,GER
9,M'gladbach,34,12,9,13,45,49,-4,45,GER
10,Schalke,34,11,10,13,45,40,5,43,GER
11,Frankfurt,34,11,9,14,36,43,-7,42,GER
12,Leverkusen,34,11,8,15,53,55,-2,41,GER
13,Augsburg,34,9,11,14,35,51,-16,38,GER
14,Hamburg,34,10,8,16,33,61,-28,38,GER
15,Mainz,34,10,7,17,44,55,-11,37,GER
16,Wolfsburg,34,10,7,17,34,52,-18,37,GER
17,Ingolstadt,34,8,8,18,36,57,-21,32,GER
18,Darmstadt,34,7,4,23,28,63,-35,25,GER
1,Monaco,38,30,5,3,107,31,76,95,FRA
2,PSG,38,27,6,5,83,27,56,87,FRA
3,Nice,38,22,12,4,63,36,27,78,FRA
4,Lyon,37,20,4,13,77,48,29,64,FRA
5,Marseille,38,17,11,10,57,41,16,62,FRA
6,Bordeaux,38,15,14,9,53,43,10,59,FRA
7,Nantes,38,14,9,15,40,54,-14,51,FRA
8,St-Etienne,38,12,14,12,41,42,-1,50,FRA
9,Rennes,38,12,14,12,36,42,-6,50,FRA
10,Guingamp,38,14,8,16,46,53,-7,50,FRA
11,Lille,38,13,7,18,40,47,-7,46,FRA
12,Angers,38,13,7,18,40,49,-9,46,FRA
13,Toulouse,38,10,14,14,37,41,-4,44,FRA
14,Metz,38,11,10,17,39,72,-33,43,FRA
15,Montpellier,38,10,9,19,48,66,-18,39,FRA
16,Dijon,38,8,13,17,46,58,-12,37,FRA
17,Caen,38,10,7,21,36,65,-29,37,FRA
18,Lorient,38,10,6,22,44,70,-26,36,FRA
19,Nancy,38,9,8,21,29,52,-23,35,FRA
20,Bastia,37,8,10,19,29,54,-25,34,FRA
